idcliente,plan_internacional_preferente,plan_internet_ilimitado,mb_navegados,total_minutos_horario_normal,total_llamadas_horario_normal,cobro_llamadas_horario_normal,total_minutos_horario_reducido,total_llamadas_horario_reducido,cobro_llamadas_horario_reducido,total_minutos_horario_nocturno,total_llamadas_horario_nocturno,cobro_llamadas_horario_nocturno,total_minutos_llamadas_internacionales,total_llamadas_internacionales,cobro_llamadas_internacionales,llamadas_a_servicio_de_atencion_al_cliente,fuga
958,Si,No,0,150,69,14051,285.9,73,13389,190.6,121,4728,9.4,15,1166,0,Vigente
959,No,Si,2300,232.4,97,21770,186,88,8711,190.5,128,4722,12.3,3,1829,3,Vigente
960,No,No,0,165.4,100,15494,115.7,87,5416,193.8,118,4805,12.8,5,1906,2,Vigente
961,No,No,0,199.2,106,18657,187.3,12,8772,214,85,5306,13.3,3,1978,3,Vigente
962,No,No,0,217.6,81,20381,320.5,51,15009,150.7,110,3736,4.2,3,623,0,Vigente
963,No,No,0,212.1,95,19869,150.1,88,7031,219.8,111,5449,7.7,2,1146,3,Vigente
964,No,Si,3000,154,75,14425,165.8,97,7764,270,83,6695,10.8,5,1609,1,Vigente
965,No,Si,3100,193.8,130,18155,202.6,98,9488,191.2,102,4739,13.3,2,1978,1,Vigente
966,No,No,0,175.4,130,16431,248.1,105,11621,122.4,85,3036,12.2,4,1813,0,Vigente
967,No,Si,2200,152,63,14238,258.8,131,12122,263.2,109,6524,15.7,5,2336,2,Fugado
968,No,No,0,230.2,147,21561,186.7,121,8744,128.4,100,3185,9.2,3,1366,0,Vigente
969,No,Si,3300,174.9,103,16381,248.2,105,11626,164.6,116,4083,13.5,3,2011,1,Fugado
970,No,No,0,190.2,68,17814,262.2,64,12282,130,92,3223,8.8,4,1311,0,Vigente
971,No,No,0,176.4,122,16524,224.9,123,10535,219.6,50,5444,11.5,1,1714,1,Vigente
972,No,No,0,160.9,95,15070,251.2,65,11764,273.4,97,6777,5,5,744,3,Vigente
973,No,No,0,228.7,90,21423,163,99,7637,154.1,90,3818,11.8,3,1758,1,Vigente
974,No,No,0,144,90,13488,181.6,100,8507,128.1,93,3174,12.3,2,1829,0,Vigente
975,No,Si,3100,135.9,90,12728,271,84,12695,179.1,89,4441,9.5,7,1416,6,Vigente
976,No,No,0,334.3,118,31313,192.1,104,8998,191,83,4733,10.4,6,1548,0,Fugado
977,No,No,0,130.5,77,12227,131.2,117,6144,264.7,63,6562,13,6,1934,0,Vigente
978,No,Si,2100,134.2,105,12568,162.5,128,7609,186.6,90,4628,11.8,2,1758,4,Fugado
979,No,No,0,278,102,26040,266.4,114,12475,224.1,118,5554,13.1,4,1951,4,Fugado
980,No,No,0,105.4,70,9874,214.8,122,10061,223.6,126,5543,7.8,5,1163,0,Vigente
981,No,No,0,188.9,94,17693,203.9,104,9549,151.8,124,3763,11.6,8,1725,3,Vigente
982,No,Si,2400,111.8,85,10475,239.6,102,11224,268.3,81,6651,6.9,4,1025,1,Vigente
983,No,Si,3300,159.1,106,14905,149.8,101,7014,213.4,108,5290,13,18,1934,1,Vigente
984,No,No,0,212.4,105,19897,224.6,118,10519,221.3,105,5488,9,4,1339,1,Vigente
985,No,No,0,142.3,112,13329,306.3,111,14348,196.5,82,4871,9.9,1,1471,1,Vigente
986,Si,No,0,346.8,55,32487,249.5,79,11687,275.4,102,6827,13.3,9,1649,1,Fugado
987,No,Si,1500,113.9,102,10667,145.3,146,6805,195.2,137,4838,11.8,9,1758,1,Vigente
988,Si,Si,2700,267.9,103,25093,263.3,74,12331,178.1,106,4414,8.3,2,1029,1,Fugado
989,No,No,0,171.4,117,16056,115.2,128,5394,224.5,115,5565,17,4,2529,3,Vigente
990,No,No,0,275.4,150,25798,187.5,62,8783,147.1,126,3648,13.6,3,2022,1,Vigente
991,No,Si,3100,197.2,118,18470,249.9,70,11703,298.9,104,7411,3.9,2,579,0,Vigente
992,No,Si,3500,192.6,97,18040,135.2,101,6331,216.2,101,5361,7.9,2,1174,2,Vigente
993,No,Si,2600,91.7,104,8590,150.6,119,7053,63.3,103,1570,7.7,5,1146,1,Vigente
994,No,No,0,126.3,99,11830,141.6,106,6634,255.9,96,6348,9.6,2,1427,0,Vigente
995,No,Si,3300,251.5,107,23561,234.1,110,10965,213.4,87,5290,10.4,6,1548,3,Vigente
996,No,No,0,190.6,108,17852,152.3,95,7135,144.7,97,3587,7.5,5,1119,1,Vigente
997,No,No,0,116.1,101,10877,201.8,99,9450,181.9,103,4513,11.6,5,1725,0,Vigente
998,No,No,0,217.3,91,20354,216.1,95,10122,148.1,76,3670,11.3,3,1681,2,Vigente
999,No,No,0,179.4,80,16806,232.5,99,10888,175.8,105,4358,14.7,3,2187,0,Vigente
1000,No,No,0,207.7,109,19456,164.8,94,7720,54.5,91,1350,7.9,3,1174,0,Vigente
1001,No,No,0,277.3,138,25974,228.4,117,10695,117.3,103,2909,12.8,4,1906,2,Fugado
1002,No,No,0,125.3,84,11736,167.6,121,7852,260.6,94,6463,8.4,4,1251,1,Vigente
1003,No,Si,3200,138.1,91,12937,167.3,72,7835,238.9,115,5923,6.8,3,1014,2,Vigente
1004,No,Si,3800,169.3,88,15858,225.9,97,10579,172,86,4265,8.2,3,1218,0,Vigente
1005,No,Si,2700,201.3,101,18855,143.8,89,6733,150.2,127,3725,12.3,3,1829,1,Vigente
1006,Si,No,0,216.7,117,20299,116.5,126,5455,220,110,5455,9.8,4,1215,2,Vigente
1007,No,No,0,190.4,92,17836,317.5,85,14871,133.4,113,3306,8.3,4,1234,2,Vigente
1008,No,No,0,143.3,91,13422,195.5,58,9158,223.3,95,5538,6,7,893,1,Vigente
1009,No,Si,4200,97.4,57,9125,203.6,98,9538,173.9,124,4314,11.4,2,1697,2,Vigente
1010,No,No,0,181.4,111,16993,167.7,92,7852,168.5,122,4177,11.3,3,1681,3,Vigente
1011,No,No,0,246.4,83,23081,256.2,101,12001,169,151,4193,3.8,4,568,0,Vigente
1012,No,No,0,143.4,130,13433,289.4,50,13555,194,100,4810,9.7,6,1444,2,Vigente
1013,No,No,0,104.9,111,9824,198.5,120,9295,258.2,91,6403,8,5,1190,2,Vigente
1014,No,No,0,156.2,93,14629,193,54,9042,222.7,94,5521,13.1,5,1951,1,Vigente
1015,No,No,0,114.8,125,10756,81.9,126,3835,304.3,101,7543,12,4,1785,0,Vigente
1016,No,No,0,232.5,96,21781,205.5,120,9626,213.7,91,5301,11.9,2,1769,0,Vigente
1017,No,No,0,143.6,117,13450,152.4,108,7135,194.4,110,4821,8.6,3,1278,1,Vigente
1018,No,No,0,176.7,132,16552,244.1,80,11433,176.3,120,4369,9.1,4,1355,2,Vigente
1019,No,No,0,263.4,148,24674,230.3,69,10789,170.6,101,4232,11.4,5,1697,1,Fugado
1020,No,No,0,146.4,74,13714,148.5,92,6954,216.7,96,5372,11.3,3,1681,1,Vigente
1021,No,Si,3300,145,72,13582,194.5,157,9108,242.3,138,6006,14.2,3,2110,2,Vigente
1022,No,No,0,167.8,91,15720,167.7,69,7852,110.3,71,2733,8.4,12,1251,1,Vigente
1023,No,No,0,166.9,99,15632,154.9,97,7257,189.4,89,4695,7.2,5,1069,0,Vigente
1024,No,No,0,142.5,87,13351,195.7,88,9163,122.1,117,3025,7.8,8,1163,2,Vigente
1025,Si,No,0,133,65,12458,262.8,93,12309,214.3,128,5312,11.2,3,1389,1,Vigente
1026,No,Si,1100,252.9,129,23687,284.3,88,13318,262.8,99,6518,12.3,1,1829,1,Vigente
1027,No,Si,2800,95,94,8899,291.2,73,13637,159.6,114,3956,10,2,1488,2,Vigente
1028,Si,No,0,194.2,106,18189,249.4,105,11681,254.9,129,6320,12.9,1,1600,1,Fugado
1029,No,No,0,222.8,114,20872,215.9,113,10111,223.5,122,5543,0,0,0,1,Vigente
1030,No,No,0,201.8,82,18905,231.5,95,10844,226.1,130,5604,16.5,5,2457,0,Vigente
1031,No,Si,4200,216,125,20233,232.3,104,10882,215.5,100,5345,9.3,4,1383,2,Fugado
1032,No,No,0,146.3,108,13703,171.8,102,8045,167.5,66,4155,5.3,9,788,1,Vigente
1033,No,No,0,234.8,85,21996,140.9,91,6601,204.3,93,5064,9.5,5,1416,1,Vigente
1034,No,No,0,198.6,111,18602,213.9,115,10017,171.2,105,4243,10.6,6,1576,2,Vigente
1035,No,No,0,94.4,80,8844,215.1,101,10072,179.7,108,4458,13.1,9,1951,2,Vigente
1036,No,No,0,190.4,74,17836,215.6,113,10100,161.2,111,3995,10,1,1488,2,Vigente
1037,No,Si,3200,142.6,77,13356,208.2,126,9753,171,102,4237,12,2,1785,3,Vigente
1038,Si,No,0,134.2,80,12568,165,71,7731,173.1,102,4292,10.7,5,1327,0,Vigente
1039,No,No,0,111.9,92,10480,114,143,5339,146.8,79,3642,14.1,3,2099,5,Fugado
1040,No,No,0,122.8,89,11505,211.3,104,9896,261.4,91,6480,10.7,2,1592,2,Vigente
1041,No,No,0,189.3,77,17731,220.9,105,10348,238.7,117,5918,9.2,5,1366,4,Vigente
1042,No,Si,3800,240.4,112,22519,201.8,102,9450,206.1,112,5108,16.1,6,2397,0,Vigente
1043,Si,Si,2400,93.5,112,8761,183.4,128,8590,240.7,133,5967,9.9,3,1228,0,Vigente
1044,No,No,0,158.6,104,14855,211.2,77,9890,179.3,104,4447,10.2,8,1515,3,Vigente
1045,Si,No,0,243.2,109,22778,147,88,6888,94.9,99,2353,7.2,4,893,4,Vigente
1046,No,No,0,176.4,115,16524,158.8,128,7439,306.6,107,7604,9.3,3,1383,4,Vigente
1047,No,No,0,220.9,129,20690,242.2,108,11345,233.3,75,5786,6.4,5,953,0,Vigente
1048,No,No,0,144.4,87,13527,266.5,128,12480,217.6,59,5394,7.1,7,1058,0,Vigente
1049,No,No,0,212.3,107,19886,228.4,103,10695,163.3,116,4050,7.7,3,1146,0,Vigente
1050,No,No,0,147,72,13769,165.7,102,7758,243.2,107,6028,8.4,9,1251,1,Vigente
1051,No,Si,2500,96.2,112,9009,178.9,70,8381,182.1,84,4513,12.9,10,1917,2,Vigente
1052,No,No,0,263.4,118,24674,179.1,69,8386,214.7,112,5323,10.3,2,1532,0,Vigente
1053,Si,No,0,12.5,67,1174,256.6,90,12017,169.4,88,4199,7.7,9,955,1,Vigente
1054,No,No,0,162.3,116,15202,192.4,86,9009,240.6,100,5967,10.1,3,1504,2,Vigente
1055,No,No,0,183.6,107,17197,58.6,118,2744,202.6,99,5025,8.7,3,1295,1,Vigente
1056,No,No,0,178.1,109,16684,146.5,86,6860,137.6,78,3411,8.5,2,1267,1,Vigente
1057,No,No,0,201.4,101,18866,97.6,122,4573,202.5,119,5020,7,3,1041,0,Vigente
1058,No,Si,3800,123,158,11521,133.9,119,6270,138.2,103,3427,13.3,4,1978,1,Vigente
1059,No,No,0,208,125,19483,198.9,76,9317,76.4,97,1895,8.6,6,1278,0,Vigente
1060,No,No,0,239.2,72,22404,188.5,124,8827,105.6,116,2617,8.8,3,1311,1,Vigente
1061,No,No,0,193,97,18078,89.8,99,4204,172.8,104,4287,15.3,3,2276,1,Vigente
1062,No,Si,3100,174.5,101,16348,245.6,105,11505,172.8,76,4287,10.3,9,1532,1,Vigente
1063,No,Si,2600,116.7,71,10932,145.9,88,6832,175.1,103,4342,9.9,3,1471,1,Vigente
1064,No,No,0,93.8,127,8788,150,104,7025,241.1,116,5978,10.7,2,1592,1,Vigente
1065,Si,Si,3000,154.1,114,14436,118.7,106,5560,258.4,105,6408,12.9,3,1600,2,Vigente
1066,No,Si,2900,239.5,82,22437,203.8,105,9543,167.8,70,4160,9.9,6,1471,0,Vigente
1067,No,Si,2500,216,140,20233,224.1,69,10497,267.9,112,6645,11.8,4,1758,0,Vigente
1068,No,No,0,187.4,97,17555,177.8,89,8326,233.4,97,5786,12.2,6,1813,1,Vigente
1069,No,No,0,167.4,119,15681,233.2,143,10921,109.6,115,2716,10.3,5,1532,0,Vigente
1070,No,No,0,160.4,108,15026,218.1,88,10216,192.9,115,4783,12.5,4,1862,1,Vigente
1071,No,No,0,143.2,92,13411,209.1,142,9791,173,96,4292,11.9,9,1769,1,Vigente
1072,No,No,0,205.3,122,19230,240.5,155,11262,179.1,107,4441,5,9,744,1,Vigente
1073,No,Si,2500,219.1,88,20525,151.5,99,7097,50.1,60,1240,14.3,6,2127,1,Vigente
1074,No,No,0,143.2,77,13411,169.8,114,7951,215.8,77,5350,7.6,4,1130,1,Vigente
1075,No,No,0,232.8,106,21809,175.2,97,8204,212.2,77,5262,12.5,7,1862,2,Vigente
1076,No,No,0,162,81,15175,247.5,89,11593,155.5,99,3857,8.9,8,1322,0,Vigente
1077,No,Si,2700,25.9,119,2424,206.5,96,9670,228.1,64,5653,6.5,7,970,1,Vigente
1078,No,No,0,154.2,123,14442,112.3,86,5262,246.4,75,6111,15.4,4,2292,4,Fugado
1079,No,No,0,322.3,113,30189,222,95,10397,162.8,123,4039,6.7,8,997,0,Fugado
1080,No,No,0,209.9,112,19660,221.3,82,10364,210,93,5207,8.2,3,1218,1,Vigente
1081,No,No,0,191.5,88,17941,175.2,78,8204,220.3,118,5460,0,0,0,0,Vigente
1082,No,Si,1900,291.1,150,27269,226.7,123,10618,219.1,67,5433,7.5,2,1119,1,Vigente
1083,No,No,0,215.6,115,20194,216.2,85,10127,171.3,65,4248,11.8,1,1758,3,Vigente
1084,Si,No,0,208.8,101,19561,213.7,87,10006,175.1,86,4342,12.4,6,1538,3,Vigente
1085,No,No,0,255.9,97,23969,204.1,129,9560,171.3,84,4248,12.3,5,1829,3,Vigente
1086,No,No,0,252.7,97,23671,221.1,121,10353,109.9,100,2727,12.4,4,1846,2,Vigente
1087,No,No,0,132.1,72,12375,247.5,107,11593,246.2,123,6105,6.9,6,1025,3,Vigente
1088,No,No,0,217,115,20326,207,142,9698,268,106,6645,8.2,4,1218,1,Vigente
1089,No,Si,4200,101.9,79,9543,223.1,97,10447,241.6,77,5989,12.9,2,1917,0,Vigente
1090,No,No,0,211.5,100,19814,184.6,88,8645,164.3,131,4072,13.3,4,1978,2,Vigente
1091,No,No,0,153.4,86,14370,198.5,81,9295,164.4,83,4077,10.4,3,1548,0,Vigente
1092,No,No,0,166.3,95,15577,239.3,87,11207,123.2,108,3053,10,3,1488,2,Vigente
1093,No,No,0,185.2,87,17345,170.4,96,7978,165.1,104,4094,9.5,13,1416,1,Vigente
1094,No,No,0,104.6,121,9797,149.5,71,7003,255.1,67,6325,6.5,8,970,2,Vigente
1095,No,No,0,245.2,105,22966,159,109,7450,229.9,74,5703,7.2,8,1069,0,Vigente
1096,No,No,0,274.4,120,25704,198.6,82,9301,160.8,62,3989,6,3,893,1,Vigente
1097,No,No,0,98.4,78,9218,249.6,129,11692,248.2,114,6155,14.2,4,2110,1,Vigente
1098,No,Si,2900,279.9,121,26217,223.1,109,10447,251.7,94,6243,13,2,1934,1,Vigente
1099,No,No,0,187.2,127,17533,195.6,88,9163,181.8,129,4507,5.1,4,760,1,Vigente
1100,No,No,0,276.2,95,25869,165.8,119,7764,151.6,79,3758,2.2,4,325,3,Vigente
1101,No,Si,3500,200.4,104,18773,272.8,89,12778,214.5,100,5317,8.3,4,1234,1,Vigente
1102,No,No,0,162.3,96,15202,244,122,11428,180.1,89,4463,9.1,4,1355,2,Vigente
1103,No,No,0,176.9,128,16569,102.8,56,4816,213.7,84,5301,10.5,2,1565,4,Fugado
1104,No,No,0,165.5,78,15505,205.5,89,9626,213.6,124,5295,12.2,6,1813,0,Vigente
1105,No,No,0,217.8,93,20404,189.7,113,8882,182.6,91,4529,10.4,5,1548,4,Vigente
1106,No,Si,2800,201.4,100,18866,246.5,117,11543,154.8,131,3840,12.9,4,1917,2,Fugado
1107,No,No,0,190.5,115,17847,179.6,130,8414,258.5,89,6408,10.1,5,1504,3,Vigente
1108,No,Si,2900,179.9,97,16850,189.2,89,8860,164.3,76,4072,12.8,7,1906,3,Vigente
1109,No,No,0,235.9,104,22095,80.6,91,3774,212.8,116,5279,5.8,2,865,3,Vigente
1110,No,No,0,140.4,112,13152,187.1,60,8761,207.9,155,5157,7.9,1,1174,0,Vigente
1111,No,No,0,144.6,115,13544,258.8,66,12122,253.2,113,6276,7.4,9,1102,2,Vigente
1112,No,No,0,189,100,17704,118.5,99,5549,248.1,87,6149,17.1,6,2546,0,Vigente
1113,No,No,0,101,93,9461,155.6,104,7290,304.4,93,7549,13.3,2,1978,0,Vigente
1114,No,No,0,206.3,98,19324,292.8,82,13714,43.7,121,1085,10.6,4,1576,1,Vigente
1115,No,Si,1500,165.1,85,15467,267,93,12508,250.7,114,6215,10.9,4,1620,1,Vigente
1116,No,No,0,165,129,15456,202.6,113,9488,172.3,94,4270,12.5,7,1862,1,Fugado
1117,No,No,0,155.9,95,14602,256.1,97,11995,262.9,103,6518,11.7,3,1741,3,Vigente
1118,Si,No,0,199.2,122,18657,214.7,114,10056,150.9,105,3741,11.8,7,1463,1,Vigente
1119,No,No,0,155.3,116,14546,188.2,85,8816,247,73,6127,12.3,4,1829,3,Vigente
1120,No,No,0,208.3,106,19511,236.7,123,11086,179.1,120,4441,11.3,5,1681,3,Vigente
1121,No,No,0,157.1,79,14717,162.6,124,7615,150,138,3719,12.1,6,1802,1,Vigente
1122,No,No,0,154.4,165,14464,168.3,121,7885,239.9,81,5951,11.7,4,1741,5,Fugado
1123,No,No,0,189.1,105,17715,246.1,147,11527,242,106,6000,10.4,5,1548,1,Fugado
1124,No,Si,2400,131.5,98,12320,230.2,111,10783,283.7,87,7036,10,3,1488,2,Vigente
1125,No,No,0,166.4,85,15588,243.2,135,11389,229.2,95,5681,9.9,5,1471,1,Vigente
1126,No,No,0,142.3,75,13329,122.8,106,5752,229.5,94,5692,12.8,9,1906,2,Vigente
1127,No,Si,1900,87.7,103,8215,223,86,10447,182.3,112,4518,7.3,4,1085,2,Vigente
1128,No,Si,1900,184.1,78,17246,194.5,71,9108,225.6,101,5593,16.9,3,2513,0,Vigente
1129,Si,Si,3100,174.5,104,16348,224.2,92,10502,116.3,91,2882,12.3,10,1525,2,Vigente
1130,No,No,0,103.3,103,9676,138.5,79,6485,164.8,98,4088,9,2,1339,2,Vigente
1131,No,No,0,35.1,62,3289,180.8,89,8469,251.6,58,6237,12.7,2,1890,1,Vigente
1132,No,Si,2500,246.6,94,23098,141.4,112,6623,189.8,109,4706,13,5,1934,1,Vigente
1133,No,Si,3700,78.5,109,7356,210.5,101,9857,179.7,102,4458,11.8,4,1758,1,Vigente
1134,No,No,0,148.1,73,13874,164.9,101,7725,216,125,5356,12.3,2,1829,5,Fugado
1135,No,No,0,206.2,84,19313,256.4,138,12006,117.1,91,2904,9,3,1339,1,Vigente
1136,No,Si,3300,251.6,87,23566,197.6,118,9257,209.2,97,5185,12.2,3,1813,2,Vigente
1137,Si,Si,2600,270.3,111,25318,215.2,90,10078,254,133,6298,14.4,7,1786,1,Fugado
1138,No,Si,3400,156.6,97,14668,224.2,97,10502,260.9,135,6469,11.3,1,1681,1,Vigente
1139,No,No,0,139.4,81,13059,223.7,113,10475,173.1,77,4292,13.6,6,2022,1,Vigente
1140,No,No,0,220.2,108,20624,188.4,124,8822,172.7,113,4281,11.7,3,1741,2,Vigente
1141,No,Si,3900,214.1,108,20056,169.2,115,7923,189.7,117,4706,10.1,3,1504,1,Vigente
1142,No,No,0,196,74,18359,213.4,96,9995,196.8,81,4882,7.9,6,1174,1,Vigente
1143,No,No,0,106.4,71,9968,240.1,83,11246,147.7,114,3664,5.3,4,788,6,Fugado
1144,No,Si,2900,179.4,113,16806,275.4,100,12899,246.1,105,6100,10,5,1488,0,Vigente
1145,No,No,0,216.7,30,20299,144.3,125,6761,135.3,106,3356,10.8,1,1609,2,Vigente
1146,No,No,0,177.3,129,16607,152.8,105,7157,162.9,92,4039,5.1,2,760,0,Vigente
1147,No,No,0,151.6,117,14199,219.4,87,10276,224.7,68,5571,4,5,595,1,Vigente
1148,No,Si,3200,262.2,123,24558,165.2,82,7736,194.3,57,4816,10.6,5,1576,0,Vigente
1149,No,No,0,173.6,110,16260,91.7,84,4292,211.7,103,5251,9.7,7,1444,3,Vigente
1150,Si,No,0,106.6,76,9984,147.4,89,6904,235.8,113,5846,9.6,8,1190,2,Vigente
1151,No,No,0,193.3,106,18106,128.3,94,6011,162.1,119,4017,11.6,4,1725,5,Fugado
1152,No,Si,2400,217.2,94,20343,138.7,52,6496,139.3,85,3455,11.3,4,1681,0,Vigente
1153,No,No,0,209.5,89,19627,172.8,85,8094,94.1,102,2331,8.8,4,1311,1,Vigente
1154,No,No,0,95.4,105,8937,207.2,101,9703,136,117,3372,5.6,5,832,1,Vigente
1155,No,Si,2600,214.6,110,20100,205.2,87,9609,134.6,140,3339,8.1,2,1207,1,Vigente
1156,No,No,0,131.6,120,12326,211.3,96,9896,168.3,97,4171,11.1,4,1653,4,Fugado
1157,No,No,0,168.4,117,15775,217.1,129,10166,81.6,100,2022,11.8,7,1758,1,Vigente
1158,No,No,0,146.4,123,13714,176.6,113,8271,212.6,102,5273,7.8,5,1163,1,Vigente
1159,Si,No,0,183,110,17142,206.7,93,9681,203.8,119,5053,11.1,6,1376,1,Vigente
1160,No,No,0,103.3,122,9676,245.9,123,11516,161.1,95,3995,6.4,7,953,0,Vigente
1161,No,Si,2800,112.2,70,10508,154.8,106,7251,166.7,105,4133,10.6,2,1576,0,Vigente
1162,Si,No,0,170.7,55,15990,179.1,108,8386,281.9,89,6992,8.2,9,1017,3,Vigente
1163,No,No,0,172.5,78,16161,142.6,91,6678,102,63,2529,10.9,2,1620,0,Vigente
1164,No,Si,3000,194.3,107,18200,243.2,108,11389,322.2,114,7990,7.1,5,1058,1,Vigente
1165,No,Si,3200,187.8,117,17593,129.8,90,6078,132.3,113,3278,12,3,1785,2,Vigente
1166,Si,Si,2600,307.1,94,28768,289.4,78,13555,174.9,109,4336,8,3,992,0,Vigente
1167,No,No,0,118.2,106,11070,167.2,136,7830,214.2,106,5312,12.2,3,1813,3,Vigente
1168,No,No,0,154,95,14425,205.9,106,9643,233.7,75,5797,12.9,1,1917,1,Vigente
1169,No,No,0,155.5,101,14568,213.4,89,9995,237.9,61,5901,7.6,11,1130,1,Vigente
1170,Si,No,0,125.6,108,11764,213,90,9979,181.7,108,4507,5.4,5,670,1,Vigente
1171,No,No,0,199.3,104,18668,224.2,92,10502,140.1,57,3471,15.2,2,2259,0,Vigente
1172,No,No,0,157.9,88,14789,180.8,132,8469,132.5,102,3284,12.8,3,1906,1,Vigente
1173,No,No,0,203.4,81,19054,167.7,110,7852,132,124,3273,9.2,5,1366,2,Vigente
1174,No,No,0,222.2,113,20811,218.5,122,10232,266,88,6595,10.9,5,1620,1,Vigente
1175,No,Si,3900,92.8,98,8695,271.2,115,12701,167.1,83,4144,5.8,7,865,1,Vigente
1176,No,Si,3200,216.8,78,20310,102.2,111,4788,174,83,4314,8.6,2,1278,0,Vigente
1177,No,No,0,193.2,89,18095,194.4,90,9103,186.5,104,4623,9.7,2,1444,4,Vigente
1178,No,No,0,113.2,108,10601,189.3,63,8866,271.8,124,6739,14.1,4,2099,3,Vigente
1179,No,Si,3600,166.2,54,15566,238.8,109,11185,108.8,92,2700,11.2,2,1664,3,Vigente
1180,No,Si,2300,262.2,101,24558,157,80,7356,129.1,100,3201,7.3,14,1085,1,Vigente
1181,No,No,0,207.8,92,19467,195.7,110,9163,184.8,124,4584,13.1,4,1951,0,Vigente
1182,No,Si,3500,245.4,89,22988,148.2,102,6943,274,136,6794,7.5,6,1119,1,Vigente
1183,No,No,0,287.1,108,26894,178.4,125,8353,153.2,98,3796,14.4,2,2143,3,Fugado
1184,No,Si,3200,192.3,82,18012,165.3,134,7742,205,74,5086,9,1,1339,2,Vigente
1185,No,No,0,194.2,122,18189,242.1,81,11340,215.8,80,5350,9.7,3,1444,2,Vigente
1186,No,No,0,211,92,19764,217,102,10166,214.8,104,5328,9.8,7,1460,3,Vigente
1187,No,Si,1200,141.9,92,13290,228.9,102,10722,195.1,101,4838,8.7,5,1295,0,Vigente
1188,No,Si,2600,220.5,94,20657,239.5,126,11218,254.3,109,6303,5.9,9,876,2,Vigente
1189,No,No,0,157.4,122,14745,145,75,6794,281.8,92,6987,9.3,2,1383,1,Vigente
1190,No,Si,2800,143.5,106,13444,223.5,147,10469,175.4,69,4347,11.2,5,1664,0,Vigente
1191,No,No,0,156,56,14613,56,116,2623,163.3,104,4050,8.9,8,1322,0,Vigente
1192,Si,No,0,160.1,63,14998,208.4,112,9758,177.6,98,4402,9.2,3,1141,2,Vigente
1193,Si,No,0,235.1,98,22023,251.8,79,11791,285.9,76,7091,7.2,2,893,4,Fugado
1194,Si,Si,1500,160,95,14987,209.5,110,9813,82.3,107,2039,8.7,5,1079,5,Fugado
1195,No,No,0,188.4,63,17649,165.9,89,7769,205.7,71,5102,13.2,2,1962,1,Vigente
1196,No,No,0,194.8,97,18249,235.3,118,11020,174.4,126,4325,11,3,1636,1,Vigente
1197,No,No,0,247.8,117,23214,130,95,6089,134.3,125,3328,6.9,2,1025,1,Vigente
1198,No,No,0,221.2,80,20718,213.6,104,10006,291.8,89,7235,11.9,3,1769,4,Vigente
1199,No,Si,2600,118.5,86,11103,213.9,118,10017,132.6,99,3289,13.4,3,1995,2,Vigente
1200,No,Si,3300,231.8,78,21715,232.9,79,10910,206.9,121,5130,7.6,4,1130,1,Vigente
1201,No,Si,2500,215.9,90,20222,257.9,92,12078,180.2,157,4469,11.6,4,1725,1,Vigente
1202,No,Si,3500,217.1,92,20337,220.8,134,10342,249.5,93,6188,8,5,1190,2,Vigente
1203,No,No,0,83.5,96,7824,221.1,63,10353,349.7,75,8673,12.6,3,1873,0,Vigente
1204,No,Si,3900,183.3,106,17169,205.1,101,9604,263.7,90,6540,5.1,7,760,1,Vigente
1205,Si,No,0,236.8,141,22183,265.3,101,12425,152.4,77,3780,9.5,2,1178,1,Fugado
1206,No,No,0,193.8,90,18155,195.3,121,9147,182.7,108,4529,8.5,3,1267,1,Vigente
1207,No,Si,2500,134,112,12552,206,111,9648,180.6,118,4480,9.7,4,1444,0,Vigente
1208,No,Si,2500,176.6,65,16541,172.7,96,8089,104.5,128,2590,11.3,5,1681,2,Vigente
1209,No,No,0,191.4,93,17930,205.4,119,9620,205.7,121,5102,10.2,3,1515,3,Vigente
1210,Si,Si,3500,174.8,127,16376,219.6,93,10287,255.8,90,6342,12.8,3,1587,0,Vigente
1211,No,No,0,275.2,67,25776,180.2,108,8441,159,110,3940,7.9,2,1174,1,Vigente
1212,No,No,0,174,85,16299,241.1,114,11290,207.8,94,5152,7.9,1,1174,1,Vigente
1213,No,No,0,165,132,15456,249.7,86,11692,170.3,128,4221,12.6,8,1873,1,Vigente
1214,No,No,0,228.7,102,21423,168.7,99,7901,223.5,100,5543,11.8,4,1758,1,Vigente
1215,No,No,0,107.9,88,10105,235.8,109,11042,228.6,119,5670,9.5,3,1416,2,Vigente
1216,No,No,0,221.3,140,20729,157.8,89,7389,192.5,89,4772,11.3,6,1681,1,Vigente
1217,No,No,0,141.1,84,13218,211.4,108,9901,103.7,127,2573,5.9,6,876,3,Vigente
1218,No,Si,3100,166.4,92,15588,238.3,74,11163,150.7,84,3736,10.7,4,1592,4,Vigente
1219,No,Si,2800,249.6,87,23379,227.2,138,10640,239.9,92,5951,7.6,3,1130,3,Vigente
1220,No,No,0,178.6,83,16728,213.1,103,9979,198,119,4909,10.9,5,1620,1,Vigente
1221,No,No,0,139,96,13020,224.9,64,10535,170.8,118,4237,15.7,5,2336,2,Vigente
1222,No,No,0,134.3,98,12579,202.3,109,9477,195.9,100,4860,12.6,5,1873,2,Vigente
1223,No,No,0,215.9,93,20222,240.1,85,11246,156.7,123,3885,4.9,5,727,3,Vigente
